Zeit;Kanal A
(ms);(mV)

19,88899981;0,00000000
19,89399981;-0,37586120
19,89899981;-0,75233760
19,90399981;-0,56409940
19,90899981;-0,75233760
19,91399981;-1,50467500
19,91899981;-1,69291300
19,92399981;-2,06877400
19,92899981;-2,06877400
19,93399981;-2,63348900
19,93899981;-3,38582700
19,94399981;-3,38582700
19,94899981;-3,57345000
19,95399981;-4,51402500
19,95899981;-3,76168800
19,96399981;-4,51402500
19,96899981;-4,70226400
19,97399981;-4,89050100
19,97899981;-4,51402500
19,98399981;-4,13816400
19,98899981;-3,57345000
19,99399981;-5,07874000
19,99899981;-3,94992600
20,00399981;-3,38582700
20,00899981;-3,00935000
20,01399981;-2,25701300
20,01899981;-2,25701300
20,02399981;-1,88053600
20,02899981;-1,88053600
20,03399981;-1,69291300
20,03899981;-2,06877400
20,04399981;-2,25701300
20,04899981;-1,69291300
20,05399981;-2,25701300
20,05899981;-1,69291300
20,06399981;-2,25701300
20,06899981;-2,44525100
20,07399981;-2,63348900
20,07899981;-4,32640200
20,08399981;-3,57345000
20,08899981;-3,57345000
20,09399981;-3,57345000
20,09899981;-4,13816400
20,10399981;-3,94992600
20,10899981;-3,57345000
20,11399981;-4,13816400
20,11899981;-4,51402500
20,12399981;-4,13816400
20,12899981;-4,89050100
20,13399981;-4,70226400
20,13899981;-4,13816400
20,14399981;-4,89050100
20,14899981;-5,07874000
20,15399981;-4,89050100
20,15899981;-4,13816400
20,16399981;-4,51402500
20,16899981;-3,76168800
20,17399981;-5,07874000
20,17899981;-3,94992600
20,18399981;-3,38582700
20,18899981;-3,94992600
20,19399981;-3,57345000
20,19899981;-3,00935000
20,20399981;-3,57345000
20,20899981;-3,00935000
20,21399981;-3,94992600
20,21899981;-2,82111200
20,22399981;-4,70226400
20,22899981;-3,00935000
20,23399981;-3,57345000
20,23899981;-3,38582700
20,24399981;-3,57345000
20,24899981;-3,38582700
20,25399980;-3,19758800
20,25899980;-3,00935000
20,26399980;-4,32640200
20,26899980;-3,19758800
20,27399980;-3,00935000
20,27899980;-2,44525100
20,28399980;-1,69291300
20,28899980;-1,88053600
20,29399980;-1,31643700
20,29899980;-1,50467500
20,30399980;-1,69291300
20,30899980;-1,50467500
20,31399980;-0,93996060
20,31899980;-1,12819900
20,32399980;-0,75233760
20,32899980;-0,56409940
20,33399980;-0,75233760
20,33899980;-0,75233760
20,34399980;-0,56409940
20,34899980;0,00000000
20,35399980;-0,37586120
20,35899980;0,00000000
20,36399980;0,18762300
20,36899980;0,93996060
20,37399980;0,93996060
20,37899980;0,93996060
20,38399980;0,93996060
20,38899980;1,12819900
20,39399980;1,12819900
20,39899980;0,18762300
20,40399980;0,75233760
20,40899980;1,12819900
20,41399980;0,93996060
20,41899980;0,56409940
20,42399980;0,93996060
20,42899980;0,56409940
20,43399980;0,56409940
20,43899980;0,56409940
20,44399980;1,50467500
20,44899980;1,31643700
20,45399980;1,31643700
20,45899980;0,37586120
20,46399980;1,69291300
20,46899980;2,44525100
20,47399980;2,25701300
20,47899980;2,44525100
20,48399980;2,82111200
20,48899980;2,44525100
20,49399980;2,82111200
20,49899980;3,00935000
20,50399980;3,00935000
20,50899980;3,38582700
20,51399980;2,63348900
20,51899980;2,44525100
20,52399980;2,63348900
20,52899980;2,44525100
20,53399980;2,63348900
20,53899980;2,25701300
20,54399980;2,25701300
20,54899980;2,06877400
20,55399980;1,88053600
20,55899980;2,06877400
20,56399980;1,12819900
20,56899980;1,69291300
20,57399980;1,50467500
20,57899980;1,12819900
20,58399980;1,50467500
20,58899980;1,31643700
20,59399980;1,12819900
20,59899980;1,31643700
20,60399980;1,50467500
20,60899980;1,12819900
20,61399980;1,88053600
20,61899980;1,69291300
20,62399980;0,37586120
20,62899980;1,88053600
20,63399980;2,06877400
20,63899980;2,63348900
20,64399980;1,31643700
20,64899979;0,56409940
20,65399979;1,12819900
20,65899979;0,93996060
20,66399979;1,12819900
20,66899979;1,31643700
20,67399979;1,12819900
20,67899979;1,88053600
20,68399979;1,50467500
20,68899979;1,50467500
20,69399979;1,69291300
20,69899979;1,88053600
20,70399979;1,88053600
20,70899979;2,06877400
20,71399979;2,06877400
20,71899979;2,25701300
20,72399979;1,88053600
20,72899979;3,00935000
20,73399979;1,69291300
20,73899979;1,88053600
20,74399979;2,06877400
20,74899979;1,88053600
20,75399979;1,88053600
20,75899979;2,63348900
20,76399979;1,50467500
20,76899979;1,88053600
20,77399979;1,69291300
20,77899979;1,88053600
20,78399979;2,06877400
20,78899979;1,31643700
20,79399979;1,12819900
20,79899979;0,93996060
20,80399979;2,06877400
20,80899979;0,93996060
20,81399979;1,50467500
20,81899979;0,18762300
20,82399979;1,12819900
20,82899979;0,56409940
20,83399979;0,56409940
20,83899979;0,93996060
20,84399979;1,31643700
20,84899979;2,44525100
20,85399979;0,93996060
20,85899979;0,93996060
20,86399979;0,93996060
20,86899979;0,75233760
20,87399979;0,56409940
20,87899979;1,12819900
20,88399979;1,12819900
20,88899979;1,50467500
20,89399979;1,50467500
20,89899979;2,06877400
20,90399979;1,12819900
20,90899979;1,31643700
20,91399979;1,50467500
20,91899979;0,93996060
20,92399979;1,12819900
20,92899979;1,31643700
20,93399979;1,12819900
20,93899979;1,31643700
20,94399979;0,93996060
20,94899979;0,93996060
20,95399979;1,12819900
20,95899979;0,56409940
20,96399979;0,18762300
20,96899979;0,00000000
20,97399979;0,18762300
20,97899979;-0,37586120
20,98399979;0,37586120
20,98899979;-0,75233760
20,99399979;-0,56409940
20,99899979;-0,93996060
21,00399979;-1,12819900
21,00899979;-1,31643700
21,01399979;-1,31643700
21,01899979;-1,69291300
21,02399979;-3,57345000
21,02899979;-3,19758800
21,03399979;-3,38582700
21,03899979;-2,44525100
21,04399978;-3,19758800
21,04899978;-3,00935000
21,05399978;-3,57345000
21,05899978;-3,76168800
21,06399978;-3,38582700
21,06899978;-2,06877400
21,07399978;-2,06877400
21,07899978;-1,12819900
21,08399978;-1,50467500
21,08899978;0,37586120
21,09399978;0,37586120
21,09899978;1,50467500
21,10399978;2,06877400
21,10899978;2,82111200
21,11399978;3,00935000
21,11899978;3,19758800
21,12399978;2,63348900
21,12899978;2,63348900
21,13399978;1,69291300
21,13899978;1,50467500
21,14399978;0,56409940
21,14899978;0,56409940
21,15399978;0,00000000
21,15899978;-1,50467500
21,16399978;-1,31643700
21,16899978;-1,69291300
21,17399978;-1,69291300
21,17899978;-1,88053600
21,18399978;-1,69291300
21,18899978;-1,50467500
21,19399978;-1,69291300
21,19899978;-2,06877400
21,20399978;-1,12819900
21,20899978;-1,12819900
21,21399978;-1,31643700
21,21899978;-1,31643700
21,22399978;0,56409940
21,22899978;-0,75233760
21,23399978;-0,93996060
21,23899978;-1,12819900
21,24399978;-1,12819900
21,24899978;-1,12819900
21,25399978;-1,31643700
21,25899978;-1,50467500
21,26399978;-2,25701300
21,26899978;-2,06877400
21,27399978;-1,31643700
21,27899978;-1,88053600
21,28399978;-1,31643700
21,28899978;-1,12819900
21,29399978;-1,12819900
21,29899978;-1,69291300
21,30399978;-1,12819900
21,30899978;-3,00935000
21,31399978;-0,37586120
21,31899978;-0,75233760
21,32399978;-0,37586120
21,32899978;0,18762300
21,33399978;-0,37586120
21,33899978;0,37586120
21,34399978;0,93996060
21,34899978;0,37586120
21,35399978;1,12819900
21,35899978;0,37586120
21,36399978;0,37586120
21,36899978;0,56409940
21,37399978;0,00000000
21,37899978;0,56409940
21,38399978;0,00000000
21,38899978;0,18762300
21,39399978;-0,75233760
21,39899978;0,00000000
21,40399978;-0,18762300
21,40899978;-1,31643700
21,41399978;0,18762300
21,41899978;0,00000000
21,42399978;0,00000000
21,42899978;0,56409940
21,43399978;-0,18762300
21,43899978;1,50467500
21,44399977;1,50467500
21,44899977;1,69291300
21,45399977;1,69291300
21,45899977;1,50467500
21,46399977;2,44525100
21,46899977;1,88053600
21,47399977;4,13816400
21,47899977;2,06877400
21,48399977;0,56409940
21,48899977;1,69291300
21,49399977;1,69291300
21,49899977;0,93996060
21,50399977;0,37586120
21,50899977;0,18762300
21,51399977;-0,18762300
21,51899977;-0,37586120
21,52399977;-0,37586120
21,52899977;-0,37586120
21,53399977;-0,18762300
21,53899977;0,00000000
21,54399977;0,00000000
21,54899977;0,18762300
21,55399977;0,18762300
21,55899977;-0,18762300
21,56399977;0,56409940
21,56899977;0,75233760
21,57399977;0,56409940
21,57899977;0,00000000
21,58399977;0,93996060
21,58899977;0,56409940
21,59399977;-0,18762300
21,59899977;-0,18762300
21,60399977;-0,75233760
21,60899977;-1,12819900
21,61399977;-1,31643700
21,61899977;-1,69291300
21,62399977;-3,57345000
21,62899977;-3,00935000
21,63399977;-0,93996060
21,63899977;-2,25701300
21,64399977;-3,57345000
21,64899977;-3,57345000
21,65399977;-4,32640200
21,65899977;-4,13816400
21,66399977;-4,51402500
21,66899977;-5,07874000
21,67399977;-4,13816400
21,67899977;-4,32640200
21,68399977;-4,13816400
21,68899977;-4,13816400
